territory,territory_iso3,mrgid,region,region_specific,shp_to_use,fao_country_profile,country_profile,fao_memberships,fisheries_subsidies,treaties_conventions,internal_fishing_access_agreements
Seychelles,SYC,8337,Africa,East and South African group,180,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=SYC&subj=6,http://www.seaaroundus.org/data/#/country/690,,http://www.seaaroundus.org/data/#/subsidy/184,http://www.fishbase.org/Country/CountryTreatyList.php?Country=690,http://www.seaaroundus.org/data/#/eez/690/internal-fishing-access/
Sierra Leone,SLE,8390,Africa,West African group,180,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=SLE&subj=6,http://www.seaaroundus.org/data/#/country/694,,http://www.seaaroundus.org/data/#/subsidy/185,http://www.fishbase.org/Country/CountryTreatyList.php?Country=694,http://www.seaaroundus.org/data/#/eez/694/internal-fishing-access/
Solomon Islands,SLB,8314,Pacific,Pacific group,360,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=SLB&subj=6,http://www.seaaroundus.org/data/#/country/90,,http://www.seaaroundus.org/data/#/subsidy/188,http://www.fishbase.org/Country/CountryTreatyList.php?Country=90,http://www.seaaroundus.org/data/#/eez/90/internal-fishing-access/
Somalia,SOM,8350,Africa,East and South African group,180,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=SOM&subj=6,http://www.seaaroundus.org/data/#/country/706,,http://www.seaaroundus.org/data/#/subsidy/189,http://www.fishbase.org/Country/CountryTreatyList.php?Country=706,http://www.seaaroundus.org/data/#/eez/706/internal-fishing-access/
South Africa,ZAF,8396,Africa,South African group,180,,,,,,
South Africa (Prince Edward Islands),ZAF,8384,Africa,South African group,180,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=ZAF&subj=6,http://www.seaaroundus.org/data/#/country/711,,http://www.seaaroundus.org/data/#/subsidy/169,http://www.fishbase.org/Country/CountryTreatyList.php?Country=I04,http://www.seaaroundus.org/data/#/eez/711/internal-fishing-access/
South Sudan,SSD,,Africa,East African group,180,,,,,,
St. Kitts and Nevis,KNA,8413,Caribbean,Caribbean group,360,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=KNA&subj=6,http://www.seaaroundus.org/data/#/country/659,,http://www.seaaroundus.org/data/#/subsidy/176,http://www.fishbase.org/Country/CountryTreatyList.php?Country=659,http://www.seaaroundus.org/data/#/eez/659/internal-fishing-access/
St. Lucia,LCA,8416,Caribbean,Caribbean group,360,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=LCA&subj=6,http://www.seaaroundus.org/data/#/country/662,,http://www.seaaroundus.org/data/#/subsidy/177,http://www.fishbase.org/Country/CountryTreatyList.php?Country=662,http://www.seaaroundus.org/data/#/eez/662/internal-fishing-access/
St. Vincent and the Grenadines,VCT,8421,Caribbean,Caribbean group,360,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=VCT&subj=6,http://www.seaaroundus.org/data/#/country/670,,http://www.seaaroundus.org/data/#/subsidy/179,http://www.fishbase.org/Country/CountryTreatyList.php?Country=670,http://www.seaaroundus.org/data/#/eez/670/internal-fishing-access/
Sudan,SDN,8355,Africa,East and South African group,180,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=SDN&subj=6,http://www.seaaroundus.org/data/#/country/736,,http://www.seaaroundus.org/data/#/subsidy/195,http://www.fishbase.org/Country/CountryTreatyList.php?Country=736,http://www.seaaroundus.org/data/#/eez/736/internal-fishing-access/
Suriname,SUR,8461,Caribbean,Caribbean group,360,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=SUR&subj=6,http://www.seaaroundus.org/data/#/country/740,,http://www.seaaroundus.org/data/#/subsidy/196,http://www.fishbase.org/Country/CountryTreatyList.php?Country=740,http://www.seaaroundus.org/data/#/eez/740/internal-fishing-access/
Tanzania,TZA,8479,Africa,East African group,180,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=TZA&subj=6,http://www.seaaroundus.org/data/#/country/834,,http://www.seaaroundus.org/data/#/subsidy/201,http://www.fishbase.org/Country/CountryTreatyList.php?Country=834,http://www.seaaroundus.org/data/#/eez/834/internal-fishing-access/
Togo,TGO,8392,Africa,West African group,180,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=TGO&subj=6,http://www.seaaroundus.org/data/#/country/768,,http://www.seaaroundus.org/data/#/subsidy/204,http://www.fishbase.org/Country/CountryTreatyList.php?Country=768,http://www.seaaroundus.org/data/#/eez/768/internal-fishing-access/
Tonga,TON,8448,Pacific,Pacific group,360,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=TON&subj=6,http://www.seaaroundus.org/data/#/country/776,,http://www.seaaroundus.org/data/#/subsidy/206,http://www.fishbase.org/Country/CountryTreatyList.php?Country=776,http://www.seaaroundus.org/data/#/eez/776/internal-fishing-access/
Trinidad and Tobago,TTO,8420,Caribbean,Caribbean group,360,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=TTO&subj=6,http://www.seaaroundus.org/data/#/country/780,,http://www.seaaroundus.org/data/#/subsidy/208,http://www.fishbase.org/Country/CountryTreatyList.php?Country=780,http://www.seaaroundus.org/data/#/eez/780/internal-fishing-access/
Tuvalu,TUV,8326,Pacific,Pacific group,360,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=TUV&subj=6,http://www.seaaroundus.org/data/#/country/798,,http://www.seaaroundus.org/data/#/subsidy/214,http://www.fishbase.org/Country/CountryTreatyList.php?Country=798,http://www.seaaroundus.org/data/#/eez/798/internal-fishing-access/
Uguanda,UGA,,Africa,East African group,180,,,,,,
Vanuatu,VUT,8313,Pacific,Pacific group,360,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=VUT&subj=6,http://www.seaaroundus.org/data/#/country/548,,http://www.seaaroundus.org/data/#/subsidy/222,http://www.fishbase.org/Country/CountryTreatyList.php?Country=548,http://www.seaaroundus.org/data/#/eez/548/internal-fishing-access/
Zambia,ZMB,,Africa,East and South African group,180,,,,,,
Zimbabwe,ZWE,,Africa,East and South African group,180,,,,,,
