geoname,eez_id,n_vessels,mean_length,mean_tonnage,tot_tonnage,mean_engine_power,tot_engine_power,fishing_hours,fishing_KWh,bad_subs,ugly_subs,mark
Croatian Exclusive Economic Zone,5673,5,21.885802374101893,96.40957381665417,578.457442899925,382.1951750696746,2293.1710504180473,850.0666666666663,550792.5470158322,607356.1457422929,60021.15014608504,none
United States Exclusive Economic Zone (Hawaii),8453,22,47.33147204839615,479.5085005549033,12467.221014427487,850.6346298402276,22116.500375845917,686.1358333333334,283281.69802514685,148044.34665402136,12493.524304402912,multi-eez
Dutch Exclusive Economic Zone,5668,2,22.912674978010713,70.94182735106429,141.88365470212858,361.1436458573179,722.2872917146358,672.7966666666669,271338.9193354468,0,0,none
Indian Exclusive Economic Zone,8480,35,32.508132698872224,325.8659042476375,12708.770265657862,640.5306567581488,24980.6956135678,672.473888888889,401272.79162343085,480544.6587143094,38939.92369185138,multi-eez
Overlapping claim Kuril Islands: Japan / Russia,48950,17,52.23408771823405,912.1309904648983,32836.71565673634,1044.422400015561,37599.20640056019,624.1427777777778,740780.9144234455,1082007.8949388235,62679.758147896,is_overlapping
Overlapping claim Kuril Islands: Japan / Russia,48950,17,52.23408771823405,912.1309904648983,32836.71565673634,1044.422400015561,37599.20640056019,624.1427777777778,740780.9144234455,1082007.8949388235,62679.758147896,is_overlapping
Ecuadorian Exclusive Economic Zone (Galapagos),8403,21,57.166520638501524,1009.5962309617186,22211.11708115781,1934.345186618792,42555.594105613425,610.3833333333367,1343744.8128316384,2993035.397878338,417.2360305884737,multi-eez & joint
Bruneian Exclusive Economic Zone,26521,4,25.948282617368,137.93428314316068,689.6714157158034,528.5100876020106,2642.550438010053,602.4275,522491.7193673353,2352946.3212986356,171584.79949880112,none
Maldives Exclusive Economic Zone,8345,48,22.35986245204677,68.01479226216054,3332.724820845867,392.3923599614144,19227.225638109307,596.8730555555555,240353.73455038216,398712.8460372929,421.4438971684896,none
Monégasque Exclusive Economic Zone,21790,2,20.986285053955356,181.8286777910125,363.657355582025,336.08127417491966,672.1625483498393,589.969722222222,118799.35667950266,21506.868384592526,2757.9628767875583,none
Guyanese Exclusive Economic Zone,8460,6,24.99431271268333,93.1133760717,558.6802564302,357.65330516256665,2145.9198309754,572.8141666666667,201621.03698898002,556444.4984502139,83.03308529762243,overlapping & joint
Guam Exclusive Economic Zone,48957,18,39.946932702452564,391.8400495677177,10187.841288760661,1092.0248261215136,28392.64547915935,524.3155555555555,301131.45249862707,405235.5607012013,34684.50449495042,none
Northern Mariana Exclusive Economic Zone,48980,55,33.05556785710845,257.34914477920313,14926.25039719378,792.3302135024052,45955.152383139495,433.5502777777778,315031.5182126897,275891.31546774734,23671.243539399828,none
Algerian Exclusive Economic Zone,8378,19,23.061348219548538,140.48289135045147,2669.174935658578,329.3787872064291,6258.196956922153,432.58194444444445,139589.98804851514,115438.08739099806,19711.556074374104,none
Clipperton Exclusive Economic Zone,8401,15,69.53613154669917,1418.4907802150701,21277.36170322605,3049.562365873266,45743.43548809899,420.17888888888893,1372672.4988161623,2588624.7593881194,254501.57641237156,multi-eez & joint
Cypriote Exclusive Economic Zone,8376,17,33.685714757129546,237.02911387982454,5214.64050535614,440.93148117616556,9700.492585875643,417.7863888888889,168438.39688153914,211759.83744578843,31573.280216491068,none
Overlapping claim Senkaku Islands: Japan / China / Taiwan,48954,3,24.305706240530554,119.45885368260555,1075.12968314345,434.8380848656139,3913.542763790525,397.96500000000003,174459.18381039592,40634.11003412273,1256.508189399622,is_overlapping
Overlapping claim Senkaku Islands: Japan / China / Taiwan,48954,3,24.305706240530554,119.45885368260555,1075.12968314345,434.8380848656139,3913.542763790525,397.96500000000003,174459.18381039592,40634.11003412273,1256.508189399622,is_overlapping
Overlapping claim Senkaku Islands: Japan / China / Taiwan,48954,3,24.305706240530554,119.45885368260555,1075.12968314345,434.8380848656139,3913.542763790525,397.96500000000003,174459.18381039592,40634.11003412273,1256.508189399622,is_overlapping
Brazilian Exclusive Economic Zone (Trindade),8381,1,23.3355215651,65.1805568564,130.3611137128,368.9639307752,737.9278615504,382.9658333333336,141300.57921926692,0,0,multi-eez
Chagos Archipelago Exclusive Economic Zone,62589,33,25.271886361652058,159.6550984392513,5268.618248495292,520.7032118601071,17183.205991383533,375.49583333333334,168575.03328410763,199658.83398057468,139.76925843966995,multi-eez & overlapping
American Samoa Exclusive Economic Zone,8444,26,28.476517303767857,125.85908528272451,4279.208899612633,558.8841019747405,19002.059467141175,332.3872222222222,175815.90128474214,38173.4751523646,1311.912845936528,none
Saint-Pierre and Miquelon Exclusive Economic Zone,8494,18,25.120509331153023,236.16060659993332,5904.015164998334,540.0076914916355,13500.192287290885,330.8905555555556,170018.22258283777,76272.7110710209,123477.27577558951,none
Omani Exclusive Economic Zone,8354,9,41.68574597921944,636.8742904877208,7642.49148585265,757.0146744467236,9084.176093360684,329.02666666666664,193965.6537528022,80967.18761265851,0,none
