flag_iso3,flag_is_EU,n_vessels,mean_length,mean_tonnage,tot_tonnage,mean_engine_power,tot_engine_power,fishing_hours,fishing_KWh,bad_subs,ugly_subs
GUY,FALSE,1,38.8810955073,186.3333278671,372.6666557342,737.1928180072,1474.3856360144,97.36666666666669,71778.00737996772,5152853.5785,0
SLE,FALSE,2,41.7701542829,1621.35693194075,3242.7138638815,597.88869614725,1195.7773922945,82.03305555555556,42214.4999771945,4554863.457299999,4710.914500000001
MNE,FALSE,4,22.877362128999998,80.79075138001,403.95375690005,270.58486422732,1352.9243211366002,77.02833333333334,14874.2302885236,0,0
SGP,FALSE,9,30.855740653675067,704.4619478249317,8453.54337389918,666.3535257106358,7996.24230852763,72.07583333333332,44576.309584000286,1529.8299821771352,0
TCA,FALSE,1,24.134041761099997,134.96925551583334,269.9385110316667,487.5125933513667,975.0251867027334,71.66055555555556,34935.42327988858,3954.7963256183502,1003.3424006717314
LIE,FALSE,1,10.1676198383,10.4629735174,20.9259470348,99.5929980807,199.1859961614,71.04722222222222,7075.805866416844,0,0
KEN,FALSE,1,35.9488142335,457.1985583855,2743.191350313,549.9434236251,3299.6605417506,67.39388888888897,37062.82598696518,1843625.5157973545,0
COL,FALSE,9,58.904975113049616,1064.7762261918,21295.524523836,2236.7925119066126,44735.850238132254,64.14027777777778,140137.9454277271,19483.179308026487,0
IRN,FALSE,12,51.369389679025275,805.0691975438478,9660.830370526175,886.4183373937869,10637.020048725444,63.640833333333326,44482.13443027788,71066.37774980615,0
BOL,FALSE,1,19.5447144134,32.8636997682,32.8636997682,268.0896577356,268.0896577356,63.29194444444446,16967.915723531725,0,0
MOZ,FALSE,6,33.636263253405524,268.41744594543627,1878.922121618054,681.9967483934302,4773.9772387540115,44.18222222222224,38360.37873758217,14059.463479994047,2.2840531184693673
IND,FALSE,3,37.528378163525,265.3535169427375,1061.41406777095,1053.2987707913428,4213.195083165371,43.15083333333333,51937.73653499832,182192.75383663503,583.2639720123535
SHN,FALSE,1,22,64,64,858.2150760090999,858.2150760090999,31.54416666666667,27071.67939347705,3064.596565379943,777.4963416144799
PLW,FALSE,3,71.5756983398,3919.67961773015,15678.7184709206,1263.2968842171001,5053.1875368684005,26.915555555555557,40067.89771117952,8354.34543982338,0
HRV,TRUE,3,19.616143149806668,81.68242400521333,245.04727201564,328.29901554526,984.89704663578,26.40638888888889,7249.987648721025,184.57199163909263,0
CRI,FALSE,1,44.0791403191,114.3018737777,114.3018737777,2013.7678803206,2013.7678803206,20.989444444444445,42267.86904799588,339071.47187245754,0
SAU,FALSE,3,16.1045435931,29.95958417363333,89.8787525209,163.03664043793333,489.1099213138,20.21666666666667,3375.584285534387,100248.857678091,0
GIN,FALSE,1,73.3023988041,1143.2504371742,1143.2504371742,1798.7577904055,1798.7577904055,18.639444444444454,33527.845903274974,127804.55186368525,48.236849081202735
