mrgid,pol_type,geoname,iso_sov,x_cen,y_cen,iso_ter,name_ter,name_sov,region
8407,200NM,Cayman Islands Exclusive Economic Zone,GBR,-81.13914,19.15345,CYM,Cayman Islands,United Kingdom,Latin America & Caribbean
48972,Joint regime,Joint regime area Honduras / Cayman Islands,GBR,-83.94222,18.70111,CYM,Cayman Islands,United Kingdom,Latin America & Caribbean
8465,200NM,Chilean Exclusive Economic Zone,CHL,-75.62881,-40.98629,CHL,Chile,Chile,Latin America & Caribbean
22756,200NM,Chilean Exclusive Economic Zone (San Felix and San Ambrosio islands),CHL,-79.99086,-26.33091,CHL,Chile,Chile,Latin America & Caribbean
21787,200NM,Chilean Exclusive Economic Zone (Easter Island),CHL,-107.43869,-26.824,CHL,Chile,Chile,Latin America & Caribbean
48970,Joint regime,Joint regime area Colombia / Dominican Republic,COL,-72.50386,15.01851,COL,Colombia,Colombia,Latin America & Caribbean
48971,Overlapping claim,Overlapping claim: Venezuela / Colombia / Dominican Republic,COL,-71.09015,15.05334,COL,Colombia,Colombia,Latin America & Caribbean
21792,Joint regime,Joint regime area Colombia / Jamaica,COL,-79.14572,15.47035,COL,Colombia,Colombia,Latin America & Caribbean
48974,Joint regime,Joint regime area Ecuador / Colombia,COL,-81.43712,1.46058,COL,Colombia,Colombia,Latin America & Caribbean
8426,200NM,Colombian Exclusive Economic Zone,COL,-78.06222,8.60754,COL,Colombia,Colombia,Latin America & Caribbean
62596,200NM,Colombian Exclusive Economic Zone (Serrana),COL,-80.30185,14.38087,COL,Colombia,Colombia,Latin America & Caribbean
62598,200NM,Colombian Exclusive Economic Zone (Quitasueño),COL,-81.16088,14.30362,COL,Colombia,Colombia,Latin America & Caribbean
48984,200NM,Colombian Exclusive Economic Zone (Serranilla),COL,-79.85562,15.79719,COL,Colombia,Colombia,Latin America & Caribbean
48985,200NM,Colombian Exclusive Economic Zone (Bajo Nuevo),COL,-78.63333,15.84999,COL,Colombia,Colombia,Latin America & Caribbean
8424,200NM,Costa Rican Exclusive Economic Zone,CRI,-86.50737,6.73691,CRI,Costa Rica,Costa Rica,Latin America & Caribbean
48968,Joint regime,Joint regime area Costa Rica / Ecuador (Galapagos),CRI,-88.84132,3.22641,CRI,Costa Rica,Costa Rica,Latin America & Caribbean
8406,200NM,Cuban Exclusive Economic Zone,CUB,-81.5305,21.60004,CUB,Cuba,Cuba,Latin America & Caribbean
26517,200NM,Curaçaoan Exclusive Economic Zone,NLD,-68.97176,13.16246,CUW,Curaçao,Netherlands,Latin America & Caribbean
