year,ssvid,flag,vessel_class,length_m,tonnage_gt,engine_power_kw,broadcast_shipname,broadcast_callsign,eez_code,eez_type,eez_name,eez_territory_iso3,eez_sovereign_iso3,eez_sovereign2_iso3,eez_sovereign3_iso3,fishing_hours_year_eez,fishing_KWh_year_eez,fishing_days_year_eez,sovereign_iso3,flag_name,sovereign_name,eez_territory_name,eez_sovereign_name,eez_sovereign2_name,eez_sovereign3_name,is_EU,is_foreign,subs_per_fishing_KWh
2018,412207023,CHN,trawlers,28.804467638958336,244.2722886769666,360.83006809042496,LIAODAZHONGYU25043,NA,8328,200NM,North Korean Exclusive Economic Zone,PRK,PRK,NA,NA,25.25888888888889,9114.166597666255,4,CHN,China,China,North Korea,North Korea,NA,NA,FALSE,TRUE,0.7384670645121026
2018,412210137,CHN,fishing,27.075237408525,171.90964559382496,245.161362927575,LIAO DAN YUN 23100,23140,8328,200NM,North Korean Exclusive Economic Zone,PRK,PRK,NA,NA,252.11333333333334,61808.448412214035,17,CHN,China,China,North Korea,North Korea,NA,NA,FALSE,TRUE,0.7384670645121026
2018,412210336,CHN,fishing,30.326709482159995,135.61718352423995,312.2443647472399,LIAO DAN YU 25025,4181,8328,200NM,North Korean Exclusive Economic Zone,PRK,PRK,NA,NA,2.9693055555555565,927.148926934895,1,CHN,China,China,North Korea,North Korea,NA,NA,FALSE,TRUE,0.7384670645121026
2018,412210439,CHN,trawlers,31.51059697144545,276.7180647115182,398.8285779475998,LIAODANYU 25557,SPRPP,8328,200NM,North Korean Exclusive Economic Zone,PRK,PRK,NA,NA,20.18625,8050.85338159474,2,CHN,China,China,North Korea,North Korea,NA,NA,FALSE,TRUE,0.7384670645121026
2018,412210445,CHN,trawlers,29.582810179144442,253.80072169138887,355.2132089324444,LIAODANYU 25938,T,8328,200NM,North Korean Exclusive Economic Zone,PRK,PRK,NA,NA,51.462083333333354,18280.01175918221,5,CHN,China,China,North Korea,North Korea,NA,NA,FALSE,TRUE,0.7384670645121026
2018,412210612,CHN,trawlers,35.59890921080001,472.0196178578333,352.2039396973999,DANYUBU 4103,NA,8328,200NM,North Korean Exclusive Economic Zone,PRK,PRK,NA,NA,9.004444444444445,3171.4008081196985,1,CHN,China,China,North Korea,North Korea,NA,NA,FALSE,TRUE,0.7384670645121026
2018,412210615,CHN,trawlers,31.098561021499997,191.48067459949996,296.2462566234001,LIAODANYUYUN 55617,NA,8328,200NM,North Korean Exclusive Economic Zone,PRK,PRK,NA,NA,91.18027777777777,27011.815969548454,15,CHN,China,China,North Korea,North Korea,NA,NA,FALSE,TRUE,0.7384670645121026
2018,412210796,CHN,trawlers,29.545699905533322,256.7181893156667,328.06824613329997,LIAODANYU 26656,NA,8328,200NM,North Korean Exclusive Economic Zone,PRK,PRK,NA,NA,608.4370833333334,199608.8868116272,59,CHN,China,China,North Korea,North Korea,NA,NA,FALSE,TRUE,0.7384670645121026
2018,412210864,CHN,trawlers,28.996911040112497,236.19993960614997,340.5349563095375,LIAODANYU 23880,NA,8328,200NM,North Korean Exclusive Economic Zone,PRK,PRK,NA,NA,47.11555555555556,16044.493652610701,5,CHN,China,China,North Korea,North Korea,NA,NA,FALSE,TRUE,0.7384670645121026
2018,412210866,CHN,trawlers,33.69647990065001,399.53730038140003,473.7911344136499,LIAODANYUYUN 25157,NA,8328,200NM,North Korean Exclusive Economic Zone,PRK,PRK,NA,NA,3.6647222222222235,1736.3128989775794,1,CHN,China,China,North Korea,North Korea,NA,NA,FALSE,TRUE,0.7384670645121026
2018,412210875,CHN,set_gillnets,42.9731820627,449.2372289951999,286.648170529,LIAODANYU26529,NA,8328,200NM,North Korean Exclusive Economic Zone,PRK,PRK,NA,NA,5.725833333333335,1641.2996497539662,2,CHN,China,China,North Korea,North Korea,NA,NA,FALSE,TRUE,0.7384670645121026
2018,412210898,CHN,purse_seines,25.789454746666667,212.10674191686664,286.5001557368667,LIAODANYU 25667,RQ8,8328,200NM,North Korean Exclusive Economic Zone,PRK,PRK,NA,NA,176.0556944444444,50439.98387669554,15,CHN,China,China,North Korea,North Korea,NA,NA,FALSE,TRUE,0.7384670645121026
2018,412211116,CHN,trawlers,32.07428156034999,256.72585523159995,196.37960425644997,LIAODANYUYUN25057,NA,8328,200NM,North Korean Exclusive Economic Zone,PRK,PRK,NA,NA,168.6456944444444,33118.57473455419,16,CHN,China,China,North Korea,North Korea,NA,NA,FALSE,TRUE,0.7384670645121026
