eez_ter_iso3,eez_ter_name,region,fao_country_profile,fisheries_subsidies,fisheries_subsidies_names,fishing_access_agreements,fishing_access_agreement_names
MYS,Malaysia,East Asia & Pacific,http://www.fao.org/countryprofiles/index/en/?iso3=MYS,http://www.seaaroundus.org/data/#/subsidy/127,,http://www.seaaroundus.org/data/#/eez/461/internal-fishing-access/; http://www.seaaroundus.org/data/#/eez/463/internal-fishing-access/; http://www.seaaroundus.org/data/#/eez/460/internal-fishing-access/; http://www.seaaroundus.org/data/#/eez/459/internal-fishing-access/,Sabah; Sarawak; Peninsula East; Peninsula West
MDV,Maldives,South Asia,http://www.fao.org/countryprofiles/index/en/?iso3=MDV,http://www.seaaroundus.org/data/#/subsidy/128,,http://www.seaaroundus.org/data/#/eez/462/internal-fishing-access/,
MLT,Malta,Middle East & North Africa,http://www.fao.org/countryprofiles/index/en/?iso3=MLT,http://www.seaaroundus.org/data/#/subsidy/129,,http://www.seaaroundus.org/data/#/eez/470/internal-fishing-access/,
MHL,Marshall Islands,East Asia & Pacific,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=MHL&subj=6,http://www.seaaroundus.org/data/#/subsidy/130,,http://www.seaaroundus.org/data/#/eez/584/internal-fishing-access/,
MTQ,Martinique,Latin America & Caribbean,http://www.fao.org/countryprofiles/index/en/?iso3=FRA,http://www.seaaroundus.org/data/#/subsidy/131,,http://www.seaaroundus.org/data/#/eez/474/internal-fishing-access/,
MRT,Mauritania,Sub-Saharan Africa,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=MRT&subj=6,http://www.seaaroundus.org/data/#/subsidy/132,,http://www.seaaroundus.org/data/#/eez/478/internal-fishing-access/,
MUS,Mauritius,Sub-Saharan Africa,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=MUS&subj=6,http://www.seaaroundus.org/data/#/subsidy/133,,http://www.seaaroundus.org/data/#/eez/480/internal-fishing-access/,
MEX,Mexico,Latin America & Caribbean,http://www.fao.org/countryprofiles/index/en/?iso3=MEX,http://www.seaaroundus.org/data/#/subsidy/135,,http://www.seaaroundus.org/data/#/eez/944/internal-fishing-access/; http://www.seaaroundus.org/data/#/eez/945/internal-fishing-access/,Atlantic; Pacific
FSM,Micronesia (Federated States of),East Asia & Pacific,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=FSM&subj=6,http://www.seaaroundus.org/data/#/subsidy/136,,http://www.seaaroundus.org/data/#/eez/583/internal-fishing-access/,
MCO,Monaco,Europe & Central Asia,http://www.fao.org/countryprofiles/index/en/?iso3=MCO,,,,
MNE,Montenegro,Europe & Central Asia,http://www.fao.org/countryprofiles/index/en/?iso3=MNE,http://www.seaaroundus.org/data/#/subsidy/139,,http://www.seaaroundus.org/data/#/eez/891/internal-fishing-access/,
MAR,Morocco,Middle East & North Africa,http://www.fao.org/countryprofiles/index/en/?iso3=MAR,http://www.seaaroundus.org/data/#/subsidy/141,,http://www.seaaroundus.org/data/#/eez/948/internal-fishing-access/; http://www.seaaroundus.org/data/#/eez/946/internal-fishing-access/; http://www.seaaroundus.org/data/#/eez/947/internal-fishing-access/,South; Central; Mediterranean
MOZ,Mozambique,Sub-Saharan Africa,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=MOZ&subj=6,http://www.seaaroundus.org/data/#/subsidy/142,,http://www.seaaroundus.org/data/#/eez/508/internal-fishing-access/,
MMR,Myanmar (Burma),East Asia & Pacific,http://www.fao.org/countryprofiles/index/en/?iso3=MMR,http://www.seaaroundus.org/data/#/subsidy/144,,http://www.seaaroundus.org/data/#/eez/104/internal-fishing-access/,
NAM,Namibia,Sub-Saharan Africa,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=NAM&subj=6,http://www.seaaroundus.org/data/#/subsidy/145,,http://www.seaaroundus.org/data/#/eez/516/internal-fishing-access/,
NRU,Nauru,East Asia & Pacific,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=NRU&subj=6,http://www.seaaroundus.org/data/#/subsidy/146,,http://www.seaaroundus.org/data/#/eez/520/internal-fishing-access/,
NCL,New Caledonia,East Asia & Pacific,http://www.fao.org/countryprofiles/index/en/?iso3=FRA,http://www.seaaroundus.org/data/#/subsidy/150,,http://www.seaaroundus.org/data/#/eez/540/internal-fishing-access/,
NZL,New Zealand,East Asia & Pacific,http://www.fao.org/countryprofiles/index/en/?iso3=NZL,http://www.seaaroundus.org/data/#/subsidy/151,,http://www.seaaroundus.org/data/#/eez/554/internal-fishing-access/,
NIC,Nicaragua,Latin America & Caribbean,http://www.fao.org/countryprofiles/index/en/?iso3=NIC,http://www.seaaroundus.org/data/#/subsidy/152,,http://www.seaaroundus.org/data/#/eez/949/internal-fishing-access/; http://www.seaaroundus.org/data/#/eez/950/internal-fishing-access/,Caribbean; Pacific
NGA,Nigeria,Sub-Saharan Africa,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=NGA&subj=6,http://www.seaaroundus.org/data/#/subsidy/153,,http://www.seaaroundus.org/data/#/eez/566/internal-fishing-access/,
NIU,Niue,East Asia & Pacific,http://www.fao.org/countryprofiles/index.asp?lang=en&iso3=NZL&subj=6,http://www.seaaroundus.org/data/#/subsidy/154,,http://www.seaaroundus.org/data/#/eez/570/internal-fishing-access/,
